;Texto;Embedding;Cluster
0;Depósito legal ppi 201502ZU4662 Esta publicación científica en formato digital es continuidad de la revista impresa Depósito Legal: pp 197402ZU789 ● ISSN: 1315-9518 ● ISSN-E: 2477-9431 Esta publicación científica en formato digital es continuidad de la revista impresa Depósito Legal: pp 197402ZU789 ISSN: 1315-9518Universidad del Zulia. Revista de la Facultad de Ciencias Económicas y Sociales Vol. XXIX, No. 4                                                    OCTUBRE-DICIEMBRE 2023;[ 6.4147468 11.639233 ];1
1;"Disponible en: https://produccioncientificaluz.org/index.php/rcs/indexRevista de Ciencias Sociales (RCS) V ol. XXIX, No. 4, octubre - diciembre 2023. pp. 107-124 FCES - LUZ ● ISSN: 1315-9518 ● ISSN-E: 2477-9431Como citar: Rodríguez-Burgos, K., y Miranda-Medina, C.  F. (2023). Técnicas y métodos de innovación tecnológica  en las pequeñas y medianas empresas. Revista De Ciencias  Sociales , 29(4), 107-124. Técnicas y métodos de innovación  tecnológica en las pequeñas y medianas  empresas  Rodríguez-Burgos, Karla* Miranda-Medina, Carlos F.** Resumen Se realizó una investigación de artículos científicos sobre innovación en las pequeñas y medianas  empresas a nivel global, planteando como objetivo determinar las técnicas, enfoques cualitativos y  cuantitativos aplicados en los estudios de estas empresas publicados en Scopus en el periodo de 1999 al  2019, además a través del análisis de redes sociales se identificaron las tendencias en el periodo 2020-2022.  Para esto se realizó un análisis de contenido de 62 artículos en revistas Scopus entre 1999 y 2019, así como  el análisis de redes de 1.091 artículos que abordan innovación en las pequeñas y medianas empresas. Los  resultados muestran que la investigación en el primer periodo se realiza mayoritariamente a través de estudios  cuantitativos siendo las técnicas más utilizadas los cuestionarios, seguidos de los modelos econométricos.  En cuanto al análisis de redes se identifica que las tendencias del último periodo son la innovación del  modelo de negocio, economía circular, innovación verde, Covid-19, manufactura, innovación tecnológica,  transformación digital y Vietnam. Como conclusión se destaca que la investigación de innovación tecnológica  es de carácter aplicada y que este tipo de empresas tuvieron relevancia en la pandemia viéndose obligadas a la  reestructuración y cambio de modelos productivos incorporando la transformación digital. Palabras clave:  Análisis de contenido; enfoque metodológico; innovación tecnológica; pyme; análisis de  redes.  *  PhD. en Filosofía con Acentuación en Ciencias Políticas. Profesora e Investigadora de Tiempo Completo de la  Facultad de Ciencias Políticas y Relaciones Internacionales en la Universidad Autónoma de Nuevo León, Monterrey,  México. E-mail: karoburgos@yahoo.com.mx  ORCID: https://orcid.org/0000-0003-2093-8146 **  Doctor en Métodos Alterno de Solución de Conflictos. Catedrático de la Facultad de Organización Deportiva en la  Universidad Autónoma de Nuevo León, San Nicolás de los Garza, México. E-mail: publinves@gmail.com  ORCID:  https://orcid.org/0000-0001-7926-4321 Recibido:  2023-06-19                · Aceptado:  2023-09-06";[ 9.144792 10.886586];3
2;"108Licencia de Creative Commons  Atribución 4.0 Internacional (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/deed.es   Rodríguez-Burgos, Karla y Miranda-Medina, Carlos F. Técnicas y métodos de innovación tecnológica en las pequeñas y medianas empresas______Techniques and methods of technological  innovation in small and medium-sized  companies Abstract An investigation of scientific articles on innovation in small and medium-sized companies globally  was carried out, the objective was to determine the techniques, qualitative and quantitative approaches  applied in studies of those companies published in Scopus in the period between 1999 and 2019. In addition,  through social network analysis, trends were identified in the period 2020-2022. For this, a content analysis  of 62 articles in Scopus journals between 1999 and 2019 was carried out, as well as a network analysis of  1,091 articles that address innovation in small and medium-sized companies. The results showed in the first  period are carried out mainly through quantitative studies and the most used techniques are questionnaires,  followed by econometric models. Regarding network analysis, it is identified that the trends of the last period  are the innovation of the business model, circular economy, green innovation, Covid 19, manufacturing,  technological innovation, digital transformation and Vietnam. In conclusion, it stands out that the research  in technological innovation is applied and this type of companies were relevant in the pandemic and were  forced to restructure and change production models incorporating digital transformation. Keywords:  Content analysis; methodical approach; technological innovation; SME; network analysis. Introducción Para el desarrollo de este artículo se hace  referencia a las técnicas y métodos científicos  utilizados para la investigación y el desarrollo  en innovación, además de incorporar el análisis  de redes sociales, identificando las tendencias  de la producción intelectual sobre las pequeñas  y medianas empresas (pyme). Es así como  desde el enfoque metodológico, se destaca  la importancia del análisis de contenido, la  cual se desarrolló utilizando los documentos  científicos publicados e indexados en la base  de datos Scopus . Como parte fundamental para la  comprensión de las variables, se describe el  concepto de innovación, como el desarrollo  o mejoramiento de productos y procesos,  con una orientación hacia la solución de  problemas, la obtención de ganancias, siendo  una condición tecnológica inherente a todos  los problemas de eficiencia y eficacia (Caird,  1992; Campo-Ternera et al., 2018; Velázquez, Cruz y Vargas, 2018; Vega, Bautista y  Martínez, 2020; Medina y Espinosa, 2022).  Por su parte, Albornoz (2009), lo describe  como la búsqueda de mejores condiciones  competitivas desde las empresas a través de  la investigación básica y la tecnología. Es así  que la innovación se compone de una serie  de actividades, no";[ 9.395036 11.181016];3
3;"la obtención de ganancias, siendo  una condición tecnológica inherente a todos  los problemas de eficiencia y eficacia (Caird,  1992; Campo-Ternera et al., 2018; Velázquez, Cruz y Vargas, 2018; Vega, Bautista y  Martínez, 2020; Medina y Espinosa, 2022).  Por su parte, Albornoz (2009), lo describe  como la búsqueda de mejores condiciones  competitivas desde las empresas a través de  la investigación básica y la tecnología. Es así  que la innovación se compone de una serie  de actividades, no solamente científicas y  tecnológicas, sino también organizacionales,  financieras y comerciales; acciones que, en  potencia, transforman las fases productivas y  comerciales de las empresas.  Por otra parte, el análisis de redes sociales  representa la estructura social en términos de  relaciones (lazos) entre objetos sociales, la cual  se ocupa de los tipos y patrones de relaciones,  así como las causas y consecuencias de estos  patrones (Tichy y Fombrun, 1979). Para Scott  (1988), es una red de relaciones sociales,  siendo una malla entrelazada de conexiones a  través de las cuales un grupo de individuos, en  forma agrupada o individual, se relacionan con  otros con un fin específico, caracterizado por la";[ 6.5409946 12.53234  ];1
4;109 Revista de Ciencias Sociales, Vol. XXIX, No. 4, 2023 octubre-diciembre ___________________________________________________________________107-124Licencia de Creative Commons  Atribución 4.0 Internacional (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/deed.es  existencia de flujos de información, pudiendo  tener muchos o pocos actores y una o más  clases de relaciones entre pares de actores. Es  así que la red se construye a través de palabras  clave de los artículos, generando una red  con la metodología de las copalabras que se  mapea a través de un software  que grafica el  conocimiento científico.  Para resaltar la pertinencia del estudio  científico de innovación tecnológica, fueron  consideradas las contribuciones surgidas  a partir del análisis de los procesos que  fundamenta la investigación y el desarrollo  en innovación en las pequeñas y medianas  empresas, que han sido objeto de estudio  por investigadores en diferentes sectores  económicos en un orden mundial, permitiendo  identificar las líneas y metodologías  predominantes en la investigación de alto  impacto.  En cuanto a la revisión de la literatura,  se identifican estudios que relacionan la  innovación en las pyme con el desempeño, el  empleo y el desarrollo de modelo de ventajas  competitivas. Es así como se demostró que la  innovación del mercado explica de manera  significativa el desempeño de las pyme en  Ghana, sugiriendo la necesidad de mejorar  este proceso en el mercado, en los productos y  en los procesos (Issau et al., 2022).  Mientras que en Europa se evidenció que  el efecto neto en el empleo de la innovación de  productos es procíclico y positivo, excepto en  las recesiones, además que los innovadores de  productos son más resistentes a las recesiones  que, los que no son innovadores, porque  pueden sustituir las pérdidas de demanda en  productos antiguos por productos nuevos en las  pyme (Peters et al., 2022). En Java, Indonesia,  las variables del marketing  espiritual y la  calidad de vida laboral son utilizadas como  variables explicativas del modelo de ventaja  competitiva en las pyme enfocadas al turismo  (Hermawati et al., 2022).  También sobresalen estudios que  analizan la gestión del riesgo, la sustentabilidad,  la innovación y el rendimiento de las pequeñas  y medianas empresas. Se evidenció que la  gestión de riesgos corporativos es una piedra angular para una ventaja competitiva en costos,  mientras que la innovación abierta entrante  juega un papel fundamental en la obtención  de ventajas competitivas para productos  y servicios (Andrés-Sánchez et al., 2022).  También se demostró que el crecimiento de  los ingresos, la capacidad organizacional  y la eficiencia afectan el desempeño de  una empresa pequeña o mediana (Jingwen,  Rahman y Tong, 2022).  Por otra parte, se destacó la relevancia  de la innovación incremental como un  punto de inflexión del desempeño de la  empresa, creando una ventana de oportunidad  competitiva para las pequeñas;[ 6.6619406 12.181493 ];1
5;fundamental en la obtención  de ventajas competitivas para productos  y servicios (Andrés-Sánchez et al., 2022).  También se demostró que el crecimiento de  los ingresos, la capacidad organizacional  y la eficiencia afectan el desempeño de  una empresa pequeña o mediana (Jingwen,  Rahman y Tong, 2022).  Por otra parte, se destacó la relevancia  de la innovación incremental como un  punto de inflexión del desempeño de la  empresa, creando una ventana de oportunidad  competitiva para las pequeñas empresas y una  amenaza de sostenibilidad para las grandes  empresas (Sevil et al., 2022). Para determinar el objetivo del estudio  asociado con las técnicas y desde un enfoque  mixto (cuali-cuantitativo) aplicados en  estudios de innovación tecnológica de las  pequeñas y medianas empresas (pyme) desde  un ámbito global, se logró el desarrollo del  presente artículo, para lo cual se definen entre  las prioridades el método que fundamenta la  estructura procedimental de cada uno de los  apartados, seguidamente de la selección de  los estudios realizados sobre la innovación en  las pyme, resaltando el sector de aplicación.  Para complementar su desarrollo se procede  con el registro sobre la aplicación de estudios  según los enfoques metodológicos en el que se  resalta la rigurosidad científica, para dar paso  a la declaración de las conclusiones.  1. Metodología  Para fundamentar metodológicamente  el desarrollo del estudio, se define la estructura  sistemática centrada en la revisión hemerográfica  sobre la producción intelectual publicada en  revistas científicas de alto impacto indexadas  en Scopus , y disponibles durante el periodo  comprendido entre 1999 al 2019.  Para la extracción de los datos se  empleó la siguiente fórmula de búsqueda:  ( TITLE-ABS-KEY ( “innovation” ) AND  TITLE-ABS-KEY ( “small and medium-sized;[ 7.275521 11.992537];1
6;110Licencia de Creative Commons  Atribución 4.0 Internacional (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/deed.es   Rodríguez-Burgos, Karla y Miranda-Medina, Carlos F. Técnicas y métodos de innovación tecnológica en las pequeñas y medianas empresas______enterprises” ) ) AND ( LIMIT-TO ( PUBYEAR  , 2019 ) OR LIMIT-TO ( PUBYEAR ,  2018 ) OR LIMIT-TO ( PUBYEAR , 2017  ) OR LIMIT-TO ( PUBYEAR , 2016 )  OR LIMIT-TO ( PUBYEAR , 2015 ) OR  LIMIT-TO ( PUBYEAR , 2014 ) OR LIMIT- TO ( PUBYEAR , 2013 ) OR LIMIT-TO  ( PUBYEAR , 2012 ) OR LIMIT-TO (  PUBYEAR , 2011 ) OR LIMIT-TO ( PUBYEAR  , 2010 ) OR LIMIT-TO ( PUBYEAR , 2009  ) OR LIMIT-TO ( PUBYEAR , 2008 ) OR  LIMIT-TO ( PUBYEAR , 2007 ) OR LIMIT- TO ( PUBYEAR , 2006 ) OR LIMIT-TO (  PUBYEAR , 2005 ) OR LIMIT-TO ( PUBYEAR  , 2004 ) OR LIMIT-TO ( PUBYEAR , 2003  ) OR LIMIT-TO ( PUBYEAR , 2002 ) OR  LIMIT-TO ( PUBYEAR , 2001 ) OR LIMIT- TO ( PUBYEAR , 2000 ) OR LIMIT-TO  ( PUBYEAR , 1999 ) ) AND ( LIMIT-TO (  DOCTYPE , “ar” ) ). El periodo de publicación seleccionado  de 1999 al 2019 se debe a que el artículo es  resultado de investigación del proyecto:  “Componentes del ecosistema que soporta la  gestión del conocimiento e innovación desde  la sostenibilidad de la interacción Universidad  – pyme”, con fecha de fin en el 2020, por  lo que se analizan 64 artículos científicos  encontrados en las bases de datos Scopus  con  las características antes mencionadas.  Debido a las complicaciones para  publicación derivadas de la pandemia de  Covid-19, se decidió actualizar el documento  para el periodo 2020 a 2022 a través de un  análisis de redes, utilizando la siguiente  fórmula de búsqueda: ( TITLE-ABS- KEY  ( “innovation” ) AND TITLE-ABS- KEY  (“small and medium-sized enterprises”))  AND ( LIMIT-TO ( PUBYEAR , 2022 )  OR LIMIT-TO ( PUBYEAR , 2021 ) OR  LIMITTO (PUBYEAR , 2020 ) ) AND  (LIMIT-TO ( DOCTYPE , “ar” ) OR LIMIT- TO ( DOCTYPE , “re” ) ). Por tanto, se obtuvo  como resultado 1.091 artículos, los cuales  fueron extraídos en formato csv, para ser  empleados con la finalidad de realizar mapas  de red a través del software VOSviewer .  Desde un enfoque cualitativo, se  determinaron las principales tendencias de investigación sobre el tema y las  limitaciones que presentan los resultados  de las investigaciones asociadas con la  variable innovación. Asimismo, mediante la  investigación analítica se pudieron registrar  los aportes teóricos y metodológicos del  corpus , para hacer la relación con el contenido  de los artículos publicados y agregar la  información a la descripción de las técnicas  y métodos científicos acerca del desarrollo  en innovación en las pequeñas y medianas  empresas (pyme), utilizando como fuente  principal de información las publicaciones  durante el período indicado.  Los criterios definidos para la  recolección de la información responden al  país de origen del estudio, sector económico  al que pertenecen las pyme, así como la  metodología y el enfoque utilizado en las;[ 8.921697 11.197778];3
7;de los artículos publicados y agregar la  información a la descripción de las técnicas  y métodos científicos acerca del desarrollo  en innovación en las pequeñas y medianas  empresas (pyme), utilizando como fuente  principal de información las publicaciones  durante el período indicado.  Los criterios definidos para la  recolección de la información responden al  país de origen del estudio, sector económico  al que pertenecen las pyme, así como la  metodología y el enfoque utilizado en las  publicaciones. Con respecto a las unidades de  análisis seleccionadas, se identifican a partir de  los 5 continentes y su capacidad de producción  intelectual en el área, se especifican: Europa,  Asia, Oceanía, África y América.  A partir del contexto de estudio, la  producción intelectual fue categorizada por  continente, determinándose un estimado de  64 artículos recuperados a través de la base  de datos Scopus , cuya distribución permitió  determinar 5 registros que fueron aplicados en  el orden mundial, 8 en los que hay combinación  entre continentes, así como específicamente  por continentes se encontraron 21 en Europa,  18 en Asia, 7 en América, 4 en África y 1  en Oceanía, lo que permitió identificar las  técnicas y métodos científicos relacionados  con la innovación que pueden servir como  guía de las técnicas y métodos cualitativos y  cuantitativos utilizados en las pyme en torno  a la innovación, que permite observar las  tendencias de medición por continente.  2. Estudios sobre innovación en las  pequeñas y medianas empresas:  principales resultados  En estudios que representan el análisis y  evolución desde el ámbito global, se reflexiona;[10.003346 12.329774];3
8;"111 Revista de Ciencias Sociales, Vol. XXIX, No. 4, 2023 octubre-diciembre ___________________________________________________________________107-124Licencia de Creative Commons  Atribución 4.0 Internacional (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/deed.es  sobre el rol de la investigación científica,  el desarrollo y modelos de innovación en  el desarrollo empresarial de las pequeñas  y medianas empresas (pyme). Lo descrito  se evidencia en los estudios que analizan  sobre la innovación abierta en economías en  desarrollo y en transición (Rahman, 2016a;  2016b). La investigación científica es un  factor que desde una mirada global influye en  los procesos innovadores, descritos a través  del análisis de los indicadores que generan las  publicaciones y la colaboración en I + D en las  pyme (Prasanthi y Sundari, 2016; Odriozola- Fernández, Berbegal-Mirabent y Merigó- Lindahl, 2019). En Asia, el estudio de la innovación  en las pyme se desarrolló alrededor de  múltiples temáticas asociadas con el talento  humano, el conocimiento, los modelos de  innovación y políticas públicas, que fortalecen  la competitividad de este tipo de empresas.  Se identificaron los trabajos de Lee, Rosdi  y Wai (2017); así como el de Rasheed et al.  (2017), quienes analizan la gestión del talento  humano en los procesos, gestión empresarial  e innovación. Por otra parte, Shahzad et al.  (2019) describen los sistemas de trabajo de alto  rendimiento y el rendimiento de la innovación  en las pyme. Además de lo anterior, también fue  analizada la evaluación de la innovación  tecnológica y el papel de la innovación en las  pyme (Bi et al., 2005), así como los enfoques  de abastecimiento de conocimiento y la  orientación al aprendizaje para la innovación  en el desempeño de las pyme (Choi, Lee  y Ham, 2016; Ratnawati et al., 2018). Por  tanto, se puede identificar una tendencia de  desarrollo de los temas de conocimiento y  tecnología en el continente asiático, puesto que  se desarrollaron los temas de conocimiento y  tecnología que fundamentan la innovación en  las pequeñas y medianas empresas. Por un lado, Zhu y Wu (2010) proponen  una teoría de innovación de elementos  dominantes en las pyme en el continente  asiático; mientras que, por otro lado, el diseño,  la ejecución y la evaluación de modelos  de innovación son elementos en los que se basaron estudios científicos que buscaban  describir la capacidad competitiva empresarial  de las pyme asiáticas, evidenciado en estudios  como el del modelo de mediación abierta e  independiente en procesos empresariales de  este tipo de empresas (Dong, 2010; Ham, Choi  y Lee, 2017).  El análisis hacia las políticas públicas  sobre la innovación en las pyme asiáticas  marcó tendencia tanto en la investigación  científica como en la producción intelectual. Se  evidenciaron estudios con resultados positivos  sobre el análisis normativo de acuerdo con  la práctica de la evaluación de inversiones,  utilizando factores de";[ 7.1759605 12.885374 ];1
9;"en estudios  como el del modelo de mediación abierta e  independiente en procesos empresariales de  este tipo de empresas (Dong, 2010; Ham, Choi  y Lee, 2017).  El análisis hacia las políticas públicas  sobre la innovación en las pyme asiáticas  marcó tendencia tanto en la investigación  científica como en la producción intelectual. Se  evidenciaron estudios con resultados positivos  sobre el análisis normativo de acuerdo con  la práctica de la evaluación de inversiones,  utilizando factores de políticas públicas como  insumos (Song y Lei, 2010). Por su parte,  Kadriu, Krasniqi y Boari (2019) observaron el  impacto institucional en la innovación de las  empresas en 30 economías en transición en  Asia Central, concluyendo que la ineficacia  del gobierno, la burocracia y la legislación  inflexible inhiben las actividades económicas  fluidas. Por otra parte, en Europa, las  publicaciones científicas sobre las pyme  presentan tópicos como elementos que  determinan la innovación, la gestión del  conocimiento y el crecimiento empresarial.  Se encontraron estudios que describen la  apertura de las empresas europeas hacia la  innovación (Lesáková, 2009), así como el  análisis de elementos determinantes que  llevan al desarrollo de procesos de innovación  en las pyme de países europeos (Ehrenberger,  Koudelková y Strielkowski, 2015; Korab y  Koudelkova, 2016; Santoro, 2017; Toomsalu  et al., 2019). Por su parte, Broccardo, Culasso y  Truant (2019) describen la gestión de procesos  de negocios centrados en innovación y los  beneficios de la inversión en investigación y  desarrollo en este tipo de empresas. Desde Europa, se analizó el  abastecimiento de conocimiento,  transformación y explotación de la cadena de  valor de la innovación en las pyme europeas  (Doran, Mccarthy y O’connor, 2019). Así  como también, se observó el análisis de un  modelo de innovación abierta y su aporte  a la competitividad empresarial (Expósito,";[ 7.704079 13.155219];1
