;Texto;Embedding;Cluster
0;Impacto de la innovación de producto, innovación de  proceso, innovación organizacional y la percepción de la  corrupción, en la rentabilidad empresarial en Colombia   1       Impacto de la innovación de producto, innovación de proceso, innovación  organizacional y la percepción de la corrupción, en la rentabilidad empresarial en  Colombia       Gueiriluz Romero Chaparro   Juan Felipe Gó mez Quiceno       Universidad EAN   Facultad de Administración   Maestría en administración de empresas   Bogotá  D.C, Colombia    Julio  de 2022;[10.583792  9.674217];4
1;Impacto de la innovación de producto, innovación de  proceso, innovación organizacional y la percepción de la  corrupción, en la rentabilidad empresarial en Colombia   2     Implicaciones de la innovación empresarial  en Colombia   Juan Felipe Gómez Quiceno   Gueiriluz Romero Chaparro     Trabajo de grado presentado como  requisito para optar al título de:   Magister en administración de empresas   Director :  Juan Manuel Gil Barragán     Modalidad:   Monografía     Universidad EAN   Facultad  de Administración   Maestría  en administración de empresas   Bogotá D.C , Colombia   Julio  de 2022;[10.901332  9.929912];4
2;Impacto de la innovación de producto, innovación de  proceso, innovación organizacional y la percepción de la  corrupción, en la rentabilidad empresarial en Colombia   3     Nota de aceptación:                       Firma del jurado    Firma del jurado    Firma del director del trabajo de grado       Ciudad, día/mes/año;[10.821372  9.497026];4
3;Impacto de la innovación de producto, innovación de  proceso, innovación organizacional y la percepción de la  corrupción, en la rentabilidad empresarial en Colombia   4                    A nuestros seres queridos, en especial a  aquellos que fueron testigos del desarrollo   de esta investigación. Gracias por el  aliento, gracias por la inspiración .;[11.135113  9.459786];4
4;Impacto de la innovación de producto, innovación de  proceso, innovación organizacional y la percepción de la  corrupción, en la rentabilidad empresarial en Colombia   5     Agradecimientos     A Juan Manuel Gil Barragán,  docente de la facultad de admin istración de la Universidad  EAN, su  disposición y conocimiento fue indispensable durante todo este proceso en la  construcción de la actual investigación.     Al cuerpo docente de la EAN que nos instruyó todo este tiempo para alimentar nuestro  intelecto y potencializar nuestra capacidad de análisis en un entorno que demanda  posiciones crít icas y constructivas.     A nuestros compañeros, de los cuales también aprendimos a través de sus experiencias y  posiciones. El mundo avanza gracias a la dialéctica de seres pensantes.     A los doctores Carolina Duque y Mauricio Guerrero, que en su calidad de jurado  enriquecieron esta investigación.;[11.09501   9.649776];4
5;Impacto de la in novación de producto, innovación de  proceso, innovación organizacional y la percepción de la  corrupción, en la rentabilidad empresarial en Colombia   6    Resumen        La innovación es una de las características esenciales para que las empresas , no solo  permanezcan vigentes en el mercado, sino también , para que sus rendimientos financieros  sean favora bles y crecientes, De acuerdo a ello, la innovación se reviste de un papel  importante y fundamental, habida cuenta de que puede omitir aspectos negativos que no  tienen la misma jerarquía que sus factores positivos y propositivos.        En aras de identificar qué aspectos fomenta más la innovación, se han definido una serie  de variables como lo son la innovación de productos, procesos y a nivel organizacional .  Estos aspectos nos permiten conocer , qué es lo más relevante desde lo prác tico para los  empresarios consultados y a qu é le dan más importancia , al interior  de su imaginario de la  utilidad de la innovación. Bajo el entendido de que la innovación no recae , sólo en  cualidades apreciables de los bienes y servicios.  Por lo que, el ob jetivo de este trabajo es  identificar el impacto de la innovación de producto, innovación de proceso, innovación  organizacional, y la percepción de corrupción en la rentabilidad empresarial en Colombia.        Por otro lado, junto a un análisis teórico, el l ector encontrará toda una discusión en torno  a cómo poder entender las variables a analizar al interior de un contexto mucho más práctico  como lo es el plano metodológico, allí se encontrarán los insumos suficientes para agotar un  análisis de casos más cer canos y particulares.        La metodología aplicada es la cuantitativa, a partir de una búsqueda de datos  que logra  consolidar la validación de las diferentes hipótesis planteadas, estableciendo datos que  logren realizar una discusión teórica en favor de revisar los resultados, hacer hermenéutica  de los mismos y, por último, se generan una serie de conclusion es que dan muestra acerca;[ 9.447208 13.035543];2
6;Impacto de la in novación de producto, innovación de  proceso, innovación organizacional y la percepción de la  corrupción, en la rentabilidad empresarial en Colombia   7    de la variabilidad de resultados encontrados y la forma en cómo estos tienen una relación  con el impacto a nivel empresarial.     Palabras clave: innovación, corrupción, rentabilidad, gobierno, destrucción creativa .;[10.328991  9.587963];4
7;Impacto de la in novación de producto, innovación de  proceso, innovación organizacional y la percepción de la  corrupción, en la rentabilidad empresarial en Colombia   8    Abstract        Innovation is one of the essential characteristics for companies not only to remain  current in the market, but also for their financial returns to be favorable and growing.  Innovation is so relevant that the perception of corruption does not affect its positive  effects, however.        In ord er to identify which aspects foster innovation the most, a series of variables have  been defined, such as product, process and organizational innovation. These aspects allow  us to know what is most relevant from a practical point of view for the entreprene urs  consulted and what they give more importance to in their imaginary of the usefulness of  innovation. Under the understanding that innovation does not fall only on appreciable  qualities of goods and services.        On the other hand, along with a theoreti cal analysis, the reader will find a whole  discussion about how to be able to understand the variables to be analyzed within a much  more practical context such as the methodological plan, where the necessary inputs will be  found to exhaust a Analysis of cl oser and particular cases.        The methodology applied is quantitative, based on a standardized survey that manages  to consolidate the validation of the different hypotheses, propose data that achieve a  theoretical discussion in favor of reviewing the res ults, making hermeneutics of them and,  finally, generating conclusions  in accordance with the objectives of this research.   Keywords: innovation, corruption, profitability, government, creative destruction.;[ 9.305848 12.769229];1
8;Impacto de la in novación de producto, innovación de  proceso, innovación organizacional y la percepción de la  corrupción, en la rentabilidad empresarial en Colombia   9    Contenido      Pág  Lista de Figuras  ................................ ................................ ................................ .............  10  Lista de Tablas  ................................ ................................ ................................ ...............  11  Introducción  ................................ ................................ ................................ ..................  12  Objetivos  ................................ ................................ ................................ ........................  18  Objetivo general  ................................ ................................ ................................ ..........  18  Objetivos específicos  ................................ ................................ ................................ .... 18  Justificación  ................................ ................................ ................................ ...................  19  Antecedentes teóricos  ................................ ................................ ................................ .... 21  Variables  ................................ ................................ ................................ ........................  26  Metodología  ................................ ................................ ................................ ...................  33  Alcance de la investigación  ................................ ................................ ..........................  34  Selección de la muestra  ................................ ................................ ................................  35  Instrumento de recoleccion de datos  ................................ ................................ ............  36  Procedimientos y tecnicas para la aplicación de instrumento  ................................ ....... 37;[9.8029175 8.819432 ];3
9;Impacto de la in novación de producto, innovación de  proceso, innovación organizacional y la percepción de la  corrupción, en la rentabilidad empresarial en Colombia   10    Trabajo de Campo  ................................ ................................ ................................ .........  37  Procesamiento de los datos  ................................ ................................ ..........................  39  Análisis de resultados  ................................ ................................ ................................ .. 41  Discusión  teórica  ................................ ................................ ................................ ............  44  Conclusiones  ................................ ................................ ................................ ..................  51  Conclusiones  ................................ ................................ ................................ ................  51  Implicaciones practicas y académicas  ................................ ................................ ..........  53  Referencias  ................................ ................................ ................................ .....................  55;[10.31416   9.100244];4
